SampleLocationName,SampleValue,NameDeterminandName,BelowMinReading
Treatment Effluent,0.127,erythromycin,No
Treatment Effluent,0.643,clarithromycin,No
Treatment Effluent,0.553,clarithromycin,No
Treatment Effluent,0.126,azithromycin,No
Treatment Effluent,0.146,ciprofloxacin,No
Treatment Effluent,0.151,erythromycin,No
Treatment Effluent,0.083,erythromycin,No
Treatment Effluent,0.568,clarithromycin,No
Treatment Effluent,0.442,ciprofloxacin,No
Treatment Effluent,0.193,azithromycin,No
Treatment Effluent,0.273,clarithromycin,No
Treatment Effluent,0.608,erythromycin,No
Treatment Effluent,0.142,azithromycin,No
Treatment Effluent,0.125,ciprofloxacin,No
Treatment Effluent,0.163,erythromycin,No
Treatment Effluent,0.182,clarithromycin,No
Treatment Effluent,0.085,ciprofloxacin,No
Treatment Effluent,0.074,azithromycin,No
Treatment Effluent,0.106,ciprofloxacin,No
Treatment Effluent,0.326,erythromycin,No
Treatment Effluent,0.148,azithromycin,No
Treatment Effluent,0.231,clarithromycin,No
Treatment Effluent,0.188,azithromycin,No
Treatment Effluent,0.329,clarithromycin,No
Treatment Effluent,0.623,erythromycin,No
Treatment Effluent,0.041,ciprofloxacin,No
Treatment Effluent,0.074,ciprofloxacin,No
Treatment Effluent,0.441,erythromycin,No
Treatment Effluent,0.359,clarithromycin,No
Treatment Effluent,0.212,azithromycin,No
Treatment Effluent,0.362,erythromycin,No
Treatment Effluent,0.138,clarithromycin,No
Treatment Effluent,0.129,azithromycin,No
Treatment Effluent,0.038,ciprofloxacin,No
Treatment Effluent,0.164,azithromycin,No
Treatment Effluent,0.49,erythromycin,No
Treatment Effluent,0.253,clarithromycin,No
Treatment Effluent,0.199,clarithromycin,No
Treatment Effluent,0.186,azithromycin,No
Treatment Effluent,0.457,erythromycin,No
Treatment Effluent,0.107,ciprofloxacin,No
Treatment Effluent,0.137,ciprofloxacin,No
Treatment Effluent,0.139,clarithromycin,No
Treatment Effluent,0.659,erythromycin,No
Treatment Effluent,0.223,azithromycin,No
Treatment Effluent,0.193,azithromycin,No
Treatment Effluent,0.532,erythromycin,No
Treatment Effluent,0.12,clarithromycin,No
Treatment Effluent,0.077,ciprofloxacin,No
Treatment Influent,2.027,ciprofloxacin,No
Treatment Influent,0.559,clarithromycin,No
Treatment Influent,0.416,erythromycin,No
Treatment Influent,0.062,azithromycin,No
Treatment Influent,0.451,ciprofloxacin,No
